file	last_edited	chars	path
0221-エフェクト代替アセット-695b1879.md	2026-06-25	4883	Symphony Kill Chord / エフェクト代替アセット
0222-SEの発注書の進捗-6c7145b3.md	2026-05-08	660	Symphony Kill Chord / SEの発注書の進捗
0223-ステージ設計-cfa71754.md	2026-05-29	557	Symphony Kill Chord / ステージ設計
0224-Symphony 台本-dabb9d23.md	2026-07-13	295	Symphony Kill Chord / Symphony 台本
0225-フレーバーテキストの追加場所-02738273.md	2026-03-30	370	Symphony Kill Chord / フレーバーテキストの追加場所
0226-ユーザーデータ-a60b2e5f.md	2026-04-17	941	Symphony Kill Chord / ユーザーデータ
0227-ゴア表現のレベル-d89abf3a.md	2026-04-04	1221	Symphony Kill Chord / ゴア表現のレベル
0228-ゲームルールの成功条件の複数化-bdaa6f6a.md	2026-03-16	2135	Symphony Kill Chord / ゲームルールの成功条件の複数化
0229-コアメカニクス-4dc4c634.md	2026-01-20	299	Symphony Kill Chord / コアメカニクス
0230-初稿-9e3bffee.md	2025-11-18	1735	Symphony Kill Chord / コアメカニクス / 初稿
0231-音楽同期戦闘モック 追加実装項目-605e9517.md	2026-01-20	289	Symphony Kill Chord / 音楽同期戦闘モック 追加実装項目
0232-戦闘音楽のトンマナ-783dd674.md	2026-03-13	958	Symphony Kill Chord / 戦闘音楽のトンマナ
0233-プレイヤーの行動パターン-fee9ed0f.md	2026-03-16	1296	Symphony Kill Chord / プレイヤーの行動パターン
0234-スキルのコマンドの発動重複対策-c726aef4.md	2026-03-16	1021	Symphony Kill Chord / スキルのコマンドの発動重複対策
0235-カメラワーク-6bb3aacf.md	2026-02-25	2370	Symphony Kill Chord / カメラワーク
0236-メモ-0c4de2e4.md	2026-02-24	292	Symphony Kill Chord / カメラワーク / メモ
0237-コマンド-dca46f4c.md	2026-02-17	264	Symphony Kill Chord / コマンド
0238-スキル-b29e6566.md	2026-03-10	447	Symphony Kill Chord / スキル
0239-リズムの判定-731573b9.md	2026-02-25	1229	Symphony Kill Chord / リズムの判定
0240-シーン構成-aa90bbd4.md	2026-02-25	1301	Symphony Kill Chord / シーン構成
0241-ゲームルール-8170a2d2.md	2026-02-25	2221	Symphony Kill Chord / ゲームルール
0242-プレイヤー-3130e1f5.md	2026-02-25	715	Symphony Kill Chord / プレイヤー
0243-敵の種類-7402c4d8.md	2026-02-25	1035	Symphony Kill Chord / 敵の種類
0244-ステージ基本-f550dd06.md	2026-02-25	764	Symphony Kill Chord / ステージ基本
0245-ステージ詳細-9ce65b17.md	2026-03-16	1272	Symphony Kill Chord / ステージ詳細
0246-シフト表システム-5eea49f8.md	2026-04-02	897	Symphony Kill Chord / シフト表システム
0247-ホーム画面の構成要素-e5a379d5.md	2026-04-15	1017	Symphony Kill Chord / ホーム画面の構成要素
0248-コンボについて-3e491c62.md	2026-03-16	947	Symphony Kill Chord / コンボについて
0249-アウトゲームUIの構成要素-109a68c7.md	2026-06-02	2606	Symphony Kill Chord / アウトゲームUIの構成要素
0250-スペシャル技の導入-e856ef39.md	2026-04-24	1788	Symphony Kill Chord / スペシャル技の導入
0251-仕様書ガイド ストーリー-2390f78e.md	2026-03-31	1182	Symphony Kill Chord / 仕様書ガイド ストーリー
0252-シナリオ概要書の適用-107d6d6a.md	2026-03-31	805	Symphony Kill Chord / 仕様書ガイド ストーリー / シナリオ概要書の適用
0253-ミニマップ-a64a6277.md	2026-03-31	1289	Symphony Kill Chord / ミニマップ
0254-バトル チュートリアル-692f7461.md	2026-06-10	428	Symphony Kill Chord / バトル チュートリアル
0255-対応デバイスの世代-23602ec5.md	2026-06-30	320	Symphony Kill Chord / 対応デバイスの世代
0256-コンボによる能力の追加-177c0a91.md	2026-07-13	2021	Symphony Kill Chord / コンボによる能力の追加
0257-ステージ差分のリファレンス-c1cd8a78.md	2026-06-18	1351	Symphony Kill Chord / ステージ差分のリファレンス
0258-長押しの導入-c315631b.md	2026-06-02	374	Symphony Kill Chord / 長押しの導入
0259-回避時の音-1216d9e4.md	2026-04-06	326	Symphony Kill Chord / 回避時の音
0260-スキルの使用映像-39d0e133.md	2026-05-07	705	Symphony Kill Chord / スキルの使用映像
0261-改造画面の仕様追記-8b3915c0.md	2026-05-08	2165	Symphony Kill Chord / 改造画面の仕様追記
0262-スキルの書き方-e06685a3.md	2026-05-08	629	Symphony Kill Chord / スキルの書き方
0263-[３Dモデラー]敵モデルのボーン修正-3edaf601.md	2026-07-20	524	Symphony Kill Chord / [３Dモデラー]敵モデルのボーン修正
0264-スキルの詳細-f78789a2.md	2026-05-31	11361	Symphony Kill Chord / スキルの詳細
0265-Notionの「用語」について-8f1fc758.md	2026-05-04	770	Symphony Kill Chord / Notionの「用語」について
0266-ステージ障害物のリファレンス-421b0dc5.md	2026-04-28	6353	Symphony Kill Chord / ステージ障害物のリファレンス
0267-研究画面の仕様追記-3a36de89.md	2026-05-08	3769	Symphony Kill Chord / 研究画面の仕様追記
0268-タイトル画面-03a45b50.md	2026-06-28	405	Symphony Kill Chord / タイトル画面
0269-仕様概要に記載する内容-5871b0eb.md	2026-05-09	529	Symphony Kill Chord / 仕様概要に記載する内容
0270-ボス戦仕様-bc8d2720.md	2026-06-30	362	Symphony Kill Chord / ボス戦仕様
0271-リストアップ-7970cc76.md	2026-07-19	1045	Symphony Kill Chord / リストアップ
0272-BGM仕様案-f2cb2c7b.md	2026-08-06	1526	Symphony Kill Chord / BGM仕様案
0273-不明点のリストアップ-7ced5969.md	2026-07-22	1001	Symphony Kill Chord / 不明点のリストアップ
0274-アセットなどの用語系の命名規則の不足確認-c54eb6d6.md	2026-08-01	2039	Symphony Kill Chord / アセットなどの用語系の命名規則の不足確認
0275-仕様書見ずらい-708b5508.md	2026-06-28	422	Symphony Kill Chord / 仕様書見ずらい
0276-__【Symphony Kill Chord】 GDD__-b2b8667c.md	2026-05-15	495	Symphony Kill Chord / 仕様書見ずらい / **【Symphony Kill Chord】 GDD**
0277-ロックオンHUDについて-3f7590f0.md	2026-06-28	892	Symphony Kill Chord / ロックオンHUDについて
0278-UIトンマナ修正-3823b367.md	2026-07-13	1485	Symphony Kill Chord / UIトンマナ修正
0279-リズムUI案-47683953.md	2026-07-13	6961	Symphony Kill Chord / リズムUI案
0280-シナリオシステム テキストウィンドウについて-f833e0de.md	2026-07-13	422	Symphony Kill Chord / シナリオシステム テキストウィンドウについて
0281-ステージ方針-d47edb7e.md	2026-07-13	3193	Symphony Kill Chord / ステージ方針
0282-スキル(全体)仕様-72b89d7c.md	2026-05-08	1051	Symphony Kill Chord / スキル(全体)仕様
0283-デザイナー発注書進捗-661e0ce5.md	2026-04-21	883	Symphony Kill Chord / デザイナー発注書進捗
0284-ノックバック-c2eeeadb.md	2026-06-02	536	Symphony Kill Chord / ノックバック
0285-敵の攻撃中断-92821c9b.md	2026-06-02	1483	Symphony Kill Chord / 敵の攻撃中断
0286-BGMの要項-158757a7.md	2026-04-02	1964	Symphony Kill Chord / BGMの要項
0287-アルファ版期間 デザイナースケジュール-c2794e74.md	2026-04-12	7005	Symphony Kill Chord / アルファ版期間 デザイナースケジュール
0288-インゲームUIの構成要素-a008300a.md	2026-04-02	2864	Symphony Kill Chord / インゲームUIの構成要素
0289-UIで必要なもの-a3a121df.md	2026-06-02	1827	Symphony Kill Chord / UIで必要なもの
0290-メンバーハンドブック-d5fc9980.md	2026-03-17	1564	Symphony Kill Chord / メンバーハンドブック
0291-仕様書添削 2_25-d33fa343.md	2026-03-16	1679	Symphony Kill Chord / 仕様書添削 2/25
0292-戦闘の銃について-0a8eb190.md	2026-03-16	1158	Symphony Kill Chord / 戦闘の銃について
0293-クライアント部門設立計画書-f0f3a4fb.md	2026-04-02	2575	Symphony Kill Chord / クライアント部門設立計画書
0294-アルファ版の制作範囲-a6799d0b.md	2026-03-31	2836	Symphony Kill Chord / アルファ版の制作範囲
0295-ミッションセレクト画面という用語-fbd69b1e.md	2026-06-02	488	Symphony Kill Chord / ミッションセレクト画面という用語
0296-仕様概要ページの要素削減方針-a0d5c095.md	2026-04-17	2109	Symphony Kill Chord / 仕様概要ページの要素削減方針
0297-敵のダウンシステム-f90fde06.md	2026-03-20	930	Symphony Kill Chord / 敵のダウンシステム
0298-シナリオ項目の改名-24e834a9.md	2026-03-25	928	Symphony Kill Chord / シナリオ項目の改名
0299-UIのトンマナ-dcd9c17f.md	2026-04-15	1352	Symphony Kill Chord / UIのトンマナ
0300-プレイヤーの操作の用語-aa7fe966.md	2026-03-30	543	Symphony Kill Chord / プレイヤーの操作の用語
0301-シナリオ概要書の適用-36a40c24.md	2026-03-31	823	Symphony Kill Chord / シナリオ概要書の適用
0302-クリティカルの要素-0167fed9.md	2026-06-02	1674	Symphony Kill Chord / クリティカルの要素
0303-2Dデザイン必要素材-0f52d1ac.md	2026-04-02	1470	Symphony Kill Chord / 2Dデザイン必要素材
0304-メンバーハンドブック Discord利用と休暇日 項目追記-cfdccf81.md	2026-03-31	1263	Symphony Kill Chord / メンバーハンドブック Discord利用と休暇日 項目追記
0305-ステージ差分-7ae0b93f.md	2026-04-02	1574	Symphony Kill Chord / ステージ差分
0306-SEアセットリスト-b47da24b.md	2026-04-02	1166	Symphony Kill Chord / SEアセットリスト
0307-モーションアセットリスト-4b665afb.md	2026-04-24	1145	Symphony Kill Chord / モーションアセットリスト
0308-回避アクションの詳細-6667f689.md	2026-04-16	1435	Symphony Kill Chord / 回避アクションの詳細
0309-敵の使用する武器-3c130f49.md	2026-05-05	581	Symphony Kill Chord / 敵の使用する武器
0310-プログラマーメンバー-3210f715.md	2026-04-20	462	Symphony Kill Chord / プログラマーメンバー
0311-TGSのゲームフロー-71b5ef01.md	2026-04-17	888	Symphony Kill Chord / TGSのゲームフロー
0312-フェーズ管理-4b939281.md	2026-04-21	1111	Symphony Kill Chord / フェーズ管理
0313-作戦画面-bc822254.md	2026-04-17	2384	Symphony Kill Chord / 作戦画面
0314-スキルツリー-5dc588e2.md	2026-04-17	2199	Symphony Kill Chord / スキルツリー
0315-ホーム-06bdaad6.md	2026-04-17	372	Symphony Kill Chord / ホーム
0316-シナリオ機能の仕様-c0055d65.md	2026-04-15	1317	Symphony Kill Chord / シナリオ機能の仕様
0317-組織改編 リード_マネージャー-1ba57ded.md	2026-06-02	1311	Symphony Kill Chord / 組織改編 リード/マネージャー
0318-レベルデザイン方針-0473b758.md	2026-04-17	1204	Symphony Kill Chord / レベルデザイン方針
0319-マネージャーのタスク定時報告義務-96f693d1.md	2026-04-17	686	Symphony Kill Chord / マネージャーのタスク定時報告義務
0320-体験版マイルストーン-93d07501.md	2026-08-02	5830	Symphony Kill Chord / 体験版マイルストーン
0321-AKITOファイルのアセット元-11afc6cd.md	2026-08-13	484	Symphony Kill Chord / AKITOファイルのアセット元
0322-UI周りの更新-fdc3a6e3.md	2026-08-30	391	Symphony Kill Chord / UI周りの更新
0323-プランナー定例会9_12-47a93990.md	2026-09-12	464	Symphony Kill Chord / プランナー定例会9/12
0324-TGS後 方針決定会-f632c64a.md	2026-09-19	260	Symphony Kill Chord / TGS後 方針決定会
0325-声優収録 9_12-b460c641.md	2026-09-12	4959	Symphony Kill Chord / 声優収録 9/12
0326-プランナー定例会　09_05-eeaf81aa.md	2026-09-05	408	Symphony Kill Chord / プランナー定例会　09/05
0327-プランナー定例会 8_15-e868d8f8.md	2026-08-15	829	Symphony Kill Chord / プランナー定例会 8/15
0328-プランナー定例会　8_8-2cfea879.md	2026-08-13	1442	Symphony Kill Chord / プランナー定例会　8/8
0329-プランナー定例会　08_01-95c69b1c.md	2026-08-01	722	Symphony Kill Chord / プランナー定例会　08/01
0330-プランナー定例会　07_25-639c7a87.md	2026-07-25	500	Symphony Kill Chord / プランナー定例会　07/25
0331-プランナー定例会　07_18-5979c34a.md	2026-07-18	1142	Symphony Kill Chord / プランナー定例会　07/18
0332-プランナー定例-7929a2f4.md	2026-07-11	566	Symphony Kill Chord / プランナー定例
0333-第1次 サウンドクリエーター面接-d007cfd6.md	2026-07-11	530	Symphony Kill Chord / 第1次 サウンドクリエーター面接
0334-質問事項-4f7021c0.md	2026-07-11	400	Symphony Kill Chord / 第1次 サウンドクリエーター面接 / 質問事項
0335-__内山 晃希__-63d1427a.md	2026-07-11	1299	Symphony Kill Chord / 第1次 サウンドクリエーター面接 / **内山 晃希**
0336-__松下 大悟__-d6540190.md	2026-07-11	1201	Symphony Kill Chord / 第1次 サウンドクリエーター面接 / **松下 大悟**
0337-__佐山 大喜__-b8fd58fb.md	2026-07-11	929	Symphony Kill Chord / 第1次 サウンドクリエーター面接 / **佐山 大喜**
0338-__宮本 晴基__-ead7669b.md	2026-07-11	1094	Symphony Kill Chord / 第1次 サウンドクリエーター面接 / **宮本 晴基**
0339-__高橋 輝成__-b1062b35.md	2026-07-11	1078	Symphony Kill Chord / 第1次 サウンドクリエーター面接 / **高橋 輝成**
0340-プランナー定例-718e11a4.md	2026-07-11	1602	Symphony Kill Chord / プランナー定例
0341-シナリオ定例会-b19f92c9.md	2026-06-26	248	Symphony Kill Chord / シナリオ定例会
0342-G-Lab集会 6_14-bd69d1fa.md	2026-06-14	220	Symphony Kill Chord / G-Lab集会 6/14
0343-第一次 プランナー会議-394b215c.md	2026-06-06	336	Symphony Kill Chord / 第一次 プランナー会議
0344-質問事項-f1bab190.md	2026-06-06	374	Symphony Kill Chord / 第一次 プランナー会議 / 質問事項
0345-__岡安奈__-17c79015.md	2026-06-06	688	Symphony Kill Chord / 第一次 プランナー会議 / **岡安奈**
0346-__野田純伶__-4c3c25ad.md	2026-06-06	659	Symphony Kill Chord / 第一次 プランナー会議 / **野田純伶**
0347-第一次 デザイナー面接-96971182.md	2026-06-26	1454	Symphony Kill Chord / 第一次 デザイナー面接
0348-2D 質問事項-a5fab873.md	2026-06-24	385	Symphony Kill Chord / 第一次 デザイナー面接 / 2D 質問事項
0349-3D 質問事項-0e173348.md	2026-06-24	406	Symphony Kill Chord / 第一次 デザイナー面接 / 3D 質問事項
0350-島村花菜-315c3602.md	2026-06-05	765	Symphony Kill Chord / 第一次 デザイナー面接 / 島村花菜
0351-岩谷礼美子-ecda20cf.md	2026-06-05	718	Symphony Kill Chord / 第一次 デザイナー面接 / 岩谷礼美子
0352-近藤真凛-de245d2e.md	2026-06-05	681	Symphony Kill Chord / 第一次 デザイナー面接 / 近藤真凛
0353-白旗祐衣-f088243b.md	2026-06-05	838	Symphony Kill Chord / 第一次 デザイナー面接 / 白旗祐衣
0354-大先 理子-d4700b5d.md	2026-06-05	893	Symphony Kill Chord / 第一次 デザイナー面接 / 大先 理子
0355-宮城 姫野-92af1e3c.md	2026-06-04	842	Symphony Kill Chord / 第一次 デザイナー面接 / 宮城 姫野
0356-髙田千尋-1c1b6c11.md	2026-06-06	735	Symphony Kill Chord / 第一次 デザイナー面接 / 髙田千尋
0357-兒玉奨-d601913e.md	2026-06-06	985	Symphony Kill Chord / 第一次 デザイナー面接 / 兒玉奨
0358-山部美南-ced360b9.md	2026-06-06	931	Symphony Kill Chord / 第一次 デザイナー面接 / 山部美南
0359-清水るちあ-b938fa0e.md	2026-06-06	855	Symphony Kill Chord / 第一次 デザイナー面接 / 清水るちあ
0360-野﨑咲来-2704f9af.md	2026-06-06	856	Symphony Kill Chord / 第一次 デザイナー面接 / 野﨑咲来
0361-小池-34451527.md	2026-06-06	680	Symphony Kill Chord / 第一次 デザイナー面接 / 小池
0362-田中遥土-b705da47.md	2026-06-06	719	Symphony Kill Chord / 第一次 デザイナー面接 / 田中遥土
0363-井上-0be1080a.md	2026-06-08	579	Symphony Kill Chord / 第一次 デザイナー面接 / 井上
0364-ドゥアルテ-c2be871b.md	2026-06-05	575	Symphony Kill Chord / 第一次 デザイナー面接 / ドゥアルテ
0365-波勇太-51e2bf18.md	2026-06-06	806	Symphony Kill Chord / 第一次 デザイナー面接 / 波勇太
0366-加藤 由那-25a4b4b5.md	2026-06-24	986	Symphony Kill Chord / 第一次 デザイナー面接 / 加藤 由那
0367-田村 圭-e3b8d010.md	2026-06-24	982	Symphony Kill Chord / 第一次 デザイナー面接 / 田村 圭
0368-山出 蒼（やまいで そら）-2e9f238a.md	2026-06-24	875	Symphony Kill Chord / 第一次 デザイナー面接 / 山出 蒼（やまいで そら）
0369-佐藤駿生-a3db049a.md	2026-06-25	936	Symphony Kill Chord / 第一次 デザイナー面接 / 佐藤駿生
0370-田中勇衣-0ab3c6b3.md	2026-06-26	1195	Symphony Kill Chord / 第一次 デザイナー面接 / 田中勇衣
0371-声優二次面接-dcb834f6.md	2026-06-06	754	Symphony Kill Chord / 声優二次面接
0372-質問事項-11830414.md	2026-06-06	2245	Symphony Kill Chord / 声優二次面接 / 質問事項
0373-廣田彩葉-ca3c2c0b.md	2026-06-01	496	Symphony Kill Chord / 声優二次面接 / 廣田彩葉
0374-中村果奈-6301b554.md	2026-06-01	713	Symphony Kill Chord / 声優二次面接 / 中村果奈
0375-石崎花音-f8241a16.md	2026-06-04	962	Symphony Kill Chord / 声優二次面接 / 石崎花音
0376-飯田楓椛-eae69fb4.md	2026-06-06	1199	Symphony Kill Chord / 声優二次面接 / 飯田楓椛
0377-宇佐見彩香-e4678761.md	2026-06-06	1020	Symphony Kill Chord / 声優二次面接 / 宇佐見彩香
0378-廣光恒正-2a93ecc2.md	2026-06-01	775	Symphony Kill Chord / 声優二次面接 / 廣光恒正
0379-小島大空-6131cf9c.md	2026-06-01	889	Symphony Kill Chord / 声優二次面接 / 小島大空
0380-森岡 怜太郎-1dbf30f7.md	2026-06-06	1490	Symphony Kill Chord / 声優二次面接 / 森岡 怜太郎
0381-プログラマー管理者会議-fd1e6b25.md	2026-05-31	805	Symphony Kill Chord / プログラマー管理者会議
0382-コロプラ作品レビュー会-95cca830.md	2026-05-31	257	Symphony Kill Chord / コロプラ作品レビュー会
0383-質問事項-e567f957.md	2026-05-24	595	Symphony Kill Chord / コロプラ作品レビュー会 / 質問事項
0384-BrushUpレビュー会　-ea921990.md	2026-05-31	413	Symphony Kill Chord / BrushUpレビュー会　
0385-コロプラ説明会 作品レビュー会-e5cef4fe.md	2026-05-31	552	Symphony Kill Chord / コロプラ説明会 作品レビュー会
0386-サウンド会議-d448074a.md	2026-05-14	815	Symphony Kill Chord / サウンド会議
0387-インゲームUI会議-efa93af8.md	2026-05-13	2486	Symphony Kill Chord / インゲームUI会議
0388-第二回シナリオ部門進捗会議-1933a4c3.md	2026-05-08	406	Symphony Kill Chord / 第二回シナリオ部門進捗会議
0389-シナリオ部門進捗会議-1682719c.md	2026-04-24	663	Symphony Kill Chord / シナリオ部門進捗会議
0390-4_20 作業会-297b3f0c.md	2026-04-20	526	Symphony Kill Chord / 4/20 作業会
0391-産学に関して-8215b8ff.md	2026-04-19	697	Symphony Kill Chord / 産学に関して
0392-プランナー×ディレクターx田口さん-e531f6bd.md	2026-04-19	490	Symphony Kill Chord / プランナー×ディレクターx田口さん
0393-第4回プランナー定例会-c0ff6e27.md	2026-04-19	1950	Symphony Kill Chord / 第4回プランナー定例会
0394-シナリオ部門制作会議-211a179a.md	2026-04-10	1026	Symphony Kill Chord / シナリオ部門制作会議
0395-シナリオ勧誘-4c0ab96f.md	2026-04-18	279	Symphony Kill Chord / シナリオ勧誘
0396-1. あおいさん-e68b3d81.md	2026-04-07	259	Symphony Kill Chord / シナリオ勧誘 / 1. あおいさん
0397-2. はるちゃんさん-1dca722e.md	2026-04-07	230	Symphony Kill Chord / シナリオ勧誘 / 2. はるちゃんさん
0398-サウンドのスタートアップ会議-47c271da.md	2026-04-11	712	Symphony Kill Chord / サウンドのスタートアップ会議
0399-UIスタートアップ会議-98ff0483.md	2026-04-18	552	Symphony Kill Chord / UIスタートアップ会議
0400-プランナー定例会-205058ab.md	2026-03-31	1674	Symphony Kill Chord / プランナー定例会
0401-シナリオ 会議-c951abb6.md	2026-03-30	711	Symphony Kill Chord / シナリオ 会議
0402-募集要項-f9606e38.md	2026-04-02	553	Symphony Kill Chord / シナリオ 会議 / 募集要項
0403-クライアント部門 試験的運用振り返り-b9a25c58.md	2026-03-28	4812	Symphony Kill Chord / クライアント部門 試験的運用振り返り
0404-キャラモデラ― Unity導入会-79cfb586.md	2026-03-28	2914	Symphony Kill Chord / キャラモデラ― Unity導入会
0405-クライアント部門スタートアップ会議-8cad7aba.md	2026-03-27	2910	Symphony Kill Chord / クライアント部門スタートアップ会議
0406-タスク見積についての試験運用-07c4a226.md	2026-03-22	397	Symphony Kill Chord / クライアント部門スタートアップ会議 / タスク見積についての試験運用
0407-3_29までのターゲット-f8d9bb9b.md	2026-03-22	273	Symphony Kill Chord / クライアント部門スタートアップ会議 / 3/29までのターゲット
0408-プランナー定例会-dd6363c2.md	2026-03-23	754	Symphony Kill Chord / プランナー定例会
0409-リードプランナー働き方改革-c1294cbd.md	2026-03-13	2122	Symphony Kill Chord / リードプランナー働き方改革
0410-3Dモデラ―懇談会-27ad38f1.md	2026-03-12	708	Symphony Kill Chord / 3Dモデラ―懇談会
0411-UI制作フロー決定会議-8a198414.md	2026-03-13	2638	Symphony Kill Chord / UI制作フロー決定会議
0412-G-Labプロジェクトリクルート＆背景デザイナー状況把握会議-e6133d2b.md	2026-03-07	1475	Symphony Kill Chord / G-Labプロジェクトリクルート＆背景デザイナー状況把握会議
0413-第一次プランナー会議-c1168f77.md	2026-03-02	557	Symphony Kill Chord / 第一次プランナー会議
0414-シナリオの次タスク-cfbef56e.md	2026-03-02	364	Symphony Kill Chord / シナリオの次タスク
0415-第一次プランナー作業内容-af3fdd9b.md	2026-03-02	414	Symphony Kill Chord / 第一次プランナー作業内容
0416-一次プログラマー全体会議-0bb4a690.md	2026-03-02	915	Symphony Kill Chord / 一次プログラマー全体会議
0417-一次プログラマー作業内容-386d906d.md	2026-03-02	1990	Symphony Kill Chord / 一次プログラマー作業内容
0418-第一次シナリオ概要書共有回-99c02880.md	2026-03-02	1016	Symphony Kill Chord / 第一次シナリオ概要書共有回
0419-プログラマー審査会 講評-1b9d87ca.md	2026-03-02	457	Symphony Kill Chord / プログラマー審査会 講評
0420-プログラマー一次募集-b84bff0c.md	2026-02-20	929	Symphony Kill Chord / プログラマー一次募集
0421-世界観方針 デザイナー合意会議-c5c5d0d6.md	2026-02-20	3981	Symphony Kill Chord / 世界観方針 デザイナー合意会議
0422-G-Lab企画発表会対策会議-13892939.md	2026-02-20	348	Symphony Kill Chord / G-Lab企画発表会対策会議
0423-世界観方針 プランナー合意会議-9645b898.md	2026-02-20	603	Symphony Kill Chord / 世界観方針 プランナー合意会議
0424-キャラモデラ―向け共有資料-8b6806eb.md	2026-02-09	3207	Symphony Kill Chord / キャラモデラ―向け共有資料
0425-G-Labコンペ資料向け対策会-487e8dea.md	2026-02-09	1903	Symphony Kill Chord / G-Labコンペ資料向け対策会
0426-G-Labコンペ__企画相談会__-b908edef.md	2026-02-09	427	Symphony Kill Chord / G-Labコンペ**企画相談会**
0427-企画書作成-29dce312.md	2026-02-09	586	Symphony Kill Chord / 企画書作成
0428-企業座談会 質問決め-4d7869b7.md	2026-02-09	1406	Symphony Kill Chord / 企業座談会 質問決め
0429-ミヘイル密談-3c03cba9.md	2026-02-09	798	Symphony Kill Chord / ミヘイル密談
0430-ミヘイル会合-8b06f279.md	2026-02-09	377	Symphony Kill Chord / ミヘイル会合
0431-プランナー定例会　07_25-6099e5c6.md	2026-07-25	163	Symphony Kill Chord / プランナー定例会　07/25
0432-議事録テンプレ-5828415f.md	2026-08-01	149	Symphony Kill Chord / 議事録テンプレ
0433-G-Lab集会 7_12-379b7b58.md	2026-07-12	211	Symphony Kill Chord / G-Lab集会 7/12
0434-質問事項-d22c1512.md	2026-07-12	237	Symphony Kill Chord / G-Lab集会 7/12 / 質問事項
0435-G-Lab集会-e910bcef.md	2026-05-17	307	Symphony Kill Chord / G-Lab集会
0436-アセット インフラ システム技術交流会-189f8736.md	2026-03-20	831	Symphony Kill Chord / アセット インフラ システム技術交流会
0437-スキルアイコン-c48c3eb9.md	2026-08-06	149	Symphony Kill Chord / スキルアイコン
0438-プランナー定例会 8_29-d3e9630a.md	2026-08-29	308	Symphony Kill Chord / プランナー定例会 8/29
0439-__52 Special Effects Pack__-851c845a.md	2026-08-10	575	Symphony Kill Chord / **52 Special Effects Pack**
0440-__Farming Game FX - MIssion__-4180e9af.md	2026-08-10	546	Symphony Kill Chord / **Farming Game FX - MIssion**
0441-__Free Slash VFX__-9a0d29a2.md	2026-08-12	525	Symphony Kill Chord / **Free Slash VFX**
0442-__Free Quick Effects Vol. 1__-7ab0879e.md	2026-08-10	527	Symphony Kill Chord / **Free Quick Effects Vol. 1**
0443-__War FX__-a94e17b2.md	2026-08-10	478	Symphony Kill Chord / **War FX**
0444-__Magica Cloth 2__-6396f861.md	2026-08-10	526	Symphony Kill Chord / **Magica Cloth 2**
0445-__Free Fire VFX - URP__-dc6452e4.md	2026-08-10	552	Symphony Kill Chord / **Free Fire VFX - URP**
0446-__Insurgent - (LITE)__-561a515c.md	2026-08-10	584	Symphony Kill Chord / **Insurgent - (LITE)**
0447-__50 Female Animations__-a8f9f63a.md	2026-08-10	558	Symphony Kill Chord / **50 Female Animations**
0448-__Human Basic Motions FREE__-ee1979f8.md	2026-08-12	453	Symphony Kill Chord / **Human Basic Motions FREE**
0449-__MC Sample - Believable 3D Animations by MoCap Central__-dab1f09c.md	2026-08-10	541	Symphony Kill Chord / **MC Sample - Believable 3D Animations by MoCap Central**
0450-__Rapier Anim Set__-98c969a6.md	2026-08-12	556	Symphony Kill Chord / **Rapier Anim Set**
0451-__Platform Animation__-08040e32.md	2026-08-10	410	Symphony Kill Chord / **Platform Animation**
0452-__Free Sample Animation Set__-4a3d0998.md	2026-08-10	433	Symphony Kill Chord / **Free Sample Animation Set**
0453-__Low Poly Soldiers Demo__-ba8d8047.md	2026-08-12	405	Symphony Kill Chord / **Low Poly Soldiers Demo**
0454-__Human Soldier Animations FREE__-00ba4bad.md	2026-08-12	440	Symphony Kill Chord / **Human Soldier Animations FREE**
0455-__Soldier-AAA-Pack.vol2__-1dc0b8ea.md	2026-08-10	403	Symphony Kill Chord / **Soldier-AAA-Pack.vol2**
0456-Bitonic Pixel Sorter-0989e0ba.md	2026-03-18	325	Symphony Kill Chord / Bitonic Pixel Sorter
0457-CRIWARE-ed419512.md	2026-08-12	417	Symphony Kill Chord / CRIWARE
0458-Google.Apis.1.75.0-aefa745d.md	2026-08-12	316	Symphony Kill Chord / Google.Apis.1.75.0
0459-Google.Apis.Auth.1.75.0-19158fdb.md	2026-08-12	341	Symphony Kill Chord / Google.Apis.Auth.1.75.0
0460-Google.Apis.Core.1.75.0-90e807b3.md	2026-08-12	338	Symphony Kill Chord / Google.Apis.Core.1.75.0
0461-Microsoft.Bcl.AsyncInterfaces.6.0.0-34c2fdc0.md	2026-08-12	420	Symphony Kill Chord / Microsoft.Bcl.AsyncInterfaces.6.0.0
0462-Microsoft.Bcl.TimeProvider.8.0.0-a47b2b66.md	2026-08-12	473	Symphony Kill Chord / Microsoft.Bcl.TimeProvider.8.0.0
0463-R3.1.3.0-a868f874.md	2026-08-12	272	Symphony Kill Chord / R3.1.3.0
0464-System.CodeDom.7.0.0-4cef9690.md	2026-08-12	347	Symphony Kill Chord / System.CodeDom.7.0.0
0465-System.ComponentModel.Annotations.5.0.0-4ac7a261.md	2026-08-12	415	Symphony Kill Chord / System.ComponentModel.Annotations.5.0.0
0466-System.Management.7.0.2-fa4acd43.md	2026-08-12	372	Symphony Kill Chord / System.Management.7.0.2
0467-System.Threading.Channels.8.0.0-683eb84b.md	2026-08-12	377	Symphony Kill Chord / System.Threading.Channels.8.0.0
0468-VRM Inporter-abcbdbcc.md	2026-08-12	206	Symphony Kill Chord / VRM Inporter
